QUERY_ID,QUERY_TEXT,DATABASE_ID,DATABASE_NAME,SCHEMA_ID,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_ID,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,PERCENTAGE_SCANNED_FROM_CACHE,BYTES_WRITTEN,BYTES_WRITTEN_TO_RESULT,BYTES_READ_FROM_RESULT,ROWS_PRODUCED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,ROWS_UNLOADED,BYTES_DELETED,PARTITIONS_SCANNED,PARTITIONS_TOTAL,BYTES_SPILLED_TO_LOCAL_STORAGE,BYTES_SPILLED_TO_REMOTE_STORAGE,BYTES_SENT_OVER_THE_NETWORK,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,LIST_EXTERNAL_FILES_TIME,CREDITS_USED_CLOUD_SERVICES,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,QUERY_LOAD_PERCENT,IS_CLIENT_GENERATED_STATEMENT,QUERY_ACCELERATION_BYTES_SCANNED,QUERY_ACCELERATION_PARTITIONS_SCANNED,QUERY_ACCELERATION_UPPER_LIMIT_SCALE_FACTOR,TRANSACTION_ID,CHILD_QUERIES_WAIT_TIME,ROLE_TYPE,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION
01b1eaaa-0001-9d98-0005-175a00012232,"SELECT COUNTRY_REGION, SUM(DEATHS) AS DEATHS FROM ECDC_GLOBAL GROUP BY COUNTRY_REGION",2,COVID19_EPIDEMIOLOGICAL_DATA,3,PUBLIC,SELECT,21866668269,MEWANMADHUSHA,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T16:42:07.603-08:00,2024-01-25T16:42:07.682-08:00,79,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,64,15,0,0,0,0,,,0,,,0,0,1.2e-05,8.3.1,0,0,0,0,0,,FALSE,0,0,0,0,0,ROLE,4df75ebe11a82b2759790a5d53fbae41,2,4df75ebe11a82b2759790a5d53fbae41,1
01b1e504-0001-9e31-0005-175a0001500a,SELECT CURRENT_ORGANIZATION_ID(),,,,,SELECT,21866659897,MEWANMADHUSHA,PUBLIC,,,,,,,SUCCESS,,,2024-01-24T16:36:06.926-08:00,2024-01-24T16:36:06.965-08:00,39,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,dbfe3a72e1875b2ebff0d3c42b705002,2,dbfe3a72e1875b2ebff0d3c42b705002,1
01b1e504-0001-9d4b-0000-0005175af0f9,"SELECT CURRENT_AVAILABLE_ROLES() as ""name""",,,,,SELECT,21866659897,MEWANMADHUSHA,PUBLIC,,,,,,,SUCCESS,,,2024-01-24T16:36:05.803-08:00,2024-01-24T16:36:05.91-08:00,107,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,0fe54efb178617f9a0f6f77572d84dce,2,0fe54efb178617f9a0f6f77572d84dce,1
01b1e504-0001-9d4b-0000-0005175af10d,SELECT SYSTEM$GET_TRIAL_USAGE();,,,,,SELECT,21866659905,MEWANMADHUSHA,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-24T16:36:07.043-08:00,2024-01-24T16:36:07.129-08:00,86,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,85,1,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,306ed364de8c1dcb26ca0011112398f9,2,306ed364de8c1dcb26ca0011112398f9,1
01b1e504-0001-9e31-0005-175a0001500e,"SELECT CURRENT_AVAILABLE_ROLES() as ""name""",,,,,SELECT,21866659897,MEWANMADHUSHA,PUBLIC,,,,,,,SUCCESS,,,2024-01-24T16:36:06.935-08:00,2024-01-24T16:36:06.99-08:00,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,0fe54efb178617f9a0f6f77572d84dce,2,0fe54efb178617f9a0f6f77572d84dce,1
01b1e504-0001-9d31-0005-175a00013126,"SELECT system$GET_NPS_FEEDBACK_TIMESTAMP(), system$GET_NPS_DISMISS_TIMESTAMP();",,,,,SELECT,21866664009,MEWANMADHUSHA,PUBLIC,,,,,,,SUCCESS,,,2024-01-24T16:36:07.123-08:00,2024-01-24T16:36:07.166-08:00,43,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,,,0,,,0,0,6e-06,8.3.1,0,0,0,0,0,,FALSE,0,0,0,0,0,ROLE,293c7498c886bd296ae41b87f6c5bfcf,2,293c7498c886bd296ae41b87f6c5bfcf,1
01b1ebac-0001-9d95-0000-0005175ae741,SELECT CURRENT_AVAILABLE_ROLES(),,,,,SELECT,1433050198126706,MEWANMADHUSHA,PUBLIC,,,,,,,SUCCESS,,,2024-01-25T21:00:43.77-08:00,2024-01-25T21:00:44.087-08:00,317,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,c93d77562440fdc9ec401ca52264d315,2,c93d77562440fdc9ec401ca52264d315,1
01b197ea-0001-97f1-0000-0005175a6035,"SELECT CURRENT_AVAILABLE_ROLES() as ""name""",,,,,SELECT,21866618885,MEWANMADHUSHA,PUBLIC,,,,,,,SUCCESS,,,2024-01-10T23:38:22.019-08:00,2024-01-10T23:38:22.075-08:00,56,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,0fe54efb178617f9a0f6f77572d84dce,2,0fe54efb178617f9a0f6f77572d84dce,1
01b197e9-0001-97f1-0000-0005175a6025,SELECT SYSTEM$SHOW_IMPORTED_DATABASES(),,,,,SELECT,21866618889,MEWANMADHUSHA,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-10T23:37:22.887-08:00,2024-01-10T23:37:22.931-08:00,44,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,eac1112bdf943a7cac6593f08f056b72,2,eac1112bdf943a7cac6593f08f056b72,1
01b197e3-0001-97f1-0000-0005175a6019,"SELECT system$GET_NPS_FEEDBACK_TIMESTAMP(), system$GET_NPS_DISMISS_TIMESTAMP();",,,,,SELECT,21866614797,MEWANMADHUSHA,PUBLIC,,,,,,,SUCCESS,,,2024-01-10T23:31:45.006-08:00,2024-01-10T23:31:45.044-08:00,38,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,,,0,,,0,0,6e-06,8.1.0,0,0,0,0,0,,FALSE,0,0,0,0,0,ROLE,293c7498c886bd296ae41b87f6c5bfcf,2,293c7498c886bd296ae41b87f6c5bfcf,1
01b197ec-0001-977c-0000-0005175a2059,SELECT SYSTEM$SHOW_APPLICATION_INSTANCES(),,,,,SELECT,21866618893,MEWANMADHUSHA,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-10T23:40:07.862-08:00,2024-01-10T23:40:07.901-08:00,39,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,ff351d19bd17492cd9e6e7eb88841803,2,ff351d19bd17492cd9e6e7eb88841803,1
01b197ea-0001-97b0-0000-0005175a303d,"SELECT system$GET_NPS_FEEDBACK_TIMESTAMP(), system$GET_NPS_DISMISS_TIMESTAMP();",,,,,SELECT,21866627077,MEWANMADHUSHA,PUBLIC,,,,,,,SUCCESS,,,2024-01-10T23:38:21.809-08:00,2024-01-10T23:38:21.846-08:00,37,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,,,0,,,0,0,6e-06,8.1.0,0,0,0,0,0,,FALSE,0,0,0,0,0,ROLE,293c7498c886bd296ae41b87f6c5bfcf,2,293c7498c886bd296ae41b87f6c5bfcf,1
01b197e3-0001-97b0-0000-0005175a3015,SELECT CURRENT_ORGANIZATION_ID(),,,,,SELECT,21866614793,MEWANMADHUSHA,PUBLIC,,,,,,,SUCCESS,,,2024-01-10T23:31:44.887-08:00,2024-01-10T23:31:44.923-08:00,36,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,dbfe3a72e1875b2ebff0d3c42b705002,2,dbfe3a72e1875b2ebff0d3c42b705002,1
01b197eb-0001-9832-0000-0005175a4041,SELECT SYSTEM$SHOW_IMPORTED_DATABASES(?),2,COVID19_EPIDEMIOLOGICAL_DATA,3,PUBLIC,SELECT,21866618889,MEWANMADHUSHA,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-10T23:39:58.494-08:00,2024-01-10T23:39:58.546-08:00,52,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,ee0ffad7d8644c8f15a6384e0823c3f3,2,ee0ffad7d8644c8f15a6384e0823c3f3,1
01b197e9-0001-977d-0000-0005175a5011,SELECT SYSTEM$SHOW_APPLICATION_INSTANCES(),,,,,SELECT,21866618889,MEWANMADHUSHA,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-10T23:37:16.107-08:00,2024-01-10T23:37:16.16-08:00,53,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,ff351d19bd17492cd9e6e7eb88841803,2,ff351d19bd17492cd9e6e7eb88841803,1
01b197eb-0001-9832-0000-0005175a4045,SELECT SYSTEM$GET_MONETIZATION_CONSUMER_TOS_ACCEPTANCE_DETAILS() as RESULT_DETAILS,,,,,SELECT,21866622985,MEWANMADHUSHA,ORGADMIN,,,,,,,SUCCESS,,,2024-01-10T23:39:59.027-08:00,2024-01-10T23:39:59.118-08:00,91,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0,0,,,0,,,0,0,0,8.1.0,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,99dea1f096fbb689d05bc421bc918bd4,2,99dea1f096fbb689d05bc421bc918bd4,1
01b197e1-0001-97c5-0000-000005175a28,CREATE OR REPLACE DATABASE IDENTIFIER('snowflake_sample_data') FROM SHARE IDENTIFIER('sfc_samples.sample_data') COMMENT=?,,,,,CREATE,85416456,SNOWFLAKE,ACCOUNTADMIN,,,,,,,SUCCESS,,,2024-01-10T23:29:56.645-08:00,2024-01-10T23:29:56.79-08:00,145,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,97,48,0,0,0,0,,,0,,,0,0,2.2e-05,8.1.0,0,0,0,0,0,,FALSE,0,0,0,0,0,ROLE,7432ddf4f21e62aa102b26c86d098a13,2,7432ddf4f21e62aa102b26c86d098a13,1
